name,year,mean_trash,population,mean_trash_std_ton,mean_trash_std_kg,cumsum,cumsum17
Bremen,2011,980654,651825,1.50447436044951,1504.47436044951,8619.12135861343,17502.531390319
Bremen,2012,934612,653478,1.43021188165478,1430.21188165478,10049.3332402682,17502.531390319
Bremen,2013,1029041,656083,1.56846161232649,1568.46161232649,11617.7948525947,17502.531390319
Bremen,2014,1041410,659640,1.57875507852768,1578.75507852768,13196.5499311224,17502.531390319
Bremen,2015,1015162,666689,1.52269198981834,1522.69198981834,14719.2419209407,17502.531390319
Bremen,2016,939684,675121,1.39187493797408,1391.87493797408,16111.1168589148,17502.531390319
Bremen,2017,946013,679893,1.39141453140421,1391.41453140421,17502.531390319,17502.531390319
Hamburg,2006,2262114,1748544,1.29371294059515,1293.71294059515,1293.71294059515,16483.1122252107
Hamburg,2007,2060213,1761711,1.16943868773028,1169.43868773028,2463.15162832543,16483.1122252107
Hamburg,2008,2510174,1771532,1.41695097802354,1416.95097802354,3880.10260634897,16483.1122252107
Hamburg,2009,2351144,1778107,1.32227363145188,1322.27363145188,5202.37623780084,16483.1122252107
Hamburg,2010,2118327,1780065,1.19002789223989,1190.02789223989,6392.40413004073,16483.1122252107
Hamburg,2011,2253762,1711944,1.31649282920469,1316.49282920469,7708.89695924543,16483.1122252107
Hamburg,2012,2246603,1726230,1.30145055989063,1301.45055989063,9010.34751913606,16483.1122252107
Hamburg,2013,2317385,1740307,1.33159551734263,1331.59551734263,10341.9430364787,16483.1122252107
Hamburg,2014,2575138,1754567,1.46767721038866,1467.67721038866,11809.6202468673,16483.1122252107
Hamburg,2015,2911707,1775100,1.64030589825925,1640.30589825925,13449.9261451266,16483.1122252107
Hamburg,2016,2935593,1798923,1.63186139706925,1631.86139706925,15081.7875421958,16483.1122252107
Hamburg,2017,2551127,1820511,1.40132468301482,1401.32468301482,16483.1122252107,16483.1122252107
Hessen,2006,3227544,6079141,0.530921062696193,530.921062696193,530.921062696193,7841.17924115186
Hessen,2007,3264811,6072514,0.537637459543115,537.637459543115,1068.55852223931,7841.17924115186
Hessen,2008,3421675,6069826,0.563718795233999,563.718795233999,1632.27731747331,7841.17924115186
Hessen,2009,3849457,6062319,0.634980937162825,634.980937162825,2267.25825463613,7841.17924115186
Hessen,2010,3905685,6064167,0.644059604559043,644.059604559043,2911.31785919518,7841.17924115186
Hessen,2011,4303049,5981590,0.719382137525307,719.382137525307,3630.69999672048,7841.17924115186
Hessen,2012,4133668,6005126,0.68835658069456,688.35658069456,4319.05657741504,7841.17924115186
Hessen,2013,3972451,6030953,0.658677160972735,658.677160972735,4977.73373838778,7841.17924115186
Hessen,2014,4373413,6069657,0.720537091305159,720.537091305159,5698.27082969294,7841.17924115186
Hessen,2015,4432986,6135030,0.722569571786935,722.569571786935,6420.84040147987,7841.17924115186
Hessen,2016,4403894,6194630,0.710921233390856,710.921233390856,7131.76163487073,7841.17924115186
Hessen,2017,4418377,6228175,0.709417606281134,709.417606281134,7841.17924115186,7841.17924115186
Mecklenburg-Vorpommern,2006,2044302,1700242,1.20235942883425,1202.35942883425,1202.35942883425,15514.3752051665
Mecklenburg-Vorpommern,2007,2228818,1686682,1.32142158391445,1321.42158391445,2523.7810127487,15514.3752051665
Mecklenburg-Vorpommern,2008,2066468,1672327,1.2356841694238,1235.6841694238,3759.46518217251,15514.3752051665
Mecklenburg-Vorpommern,2009,2085261,1656826,1.25858780584081,1258.58780584081,5018.05298801331,15514.3752051665
Mecklenburg-Vorpommern,2010,2193582,1646325,1.33241127966835,1332.41127966835,6350.46426768167,15514.3752051665
Mecklenburg-Vorpommern,2011,2265831,1610844,1.40661106848335,1406.61106848335,7757.07533616502,15514.3752051665
Mecklenburg-Vorpommern,2012,2106702,1603613,1.31372220105474,1313.72220105474,9070.79753721976,15514.3752051665
Mecklenburg-Vorpommern,2013,2132239,1598416,1.33397000530525,1333.97000530525,10404.767542525,15514.3752051665
Mecklenburg-Vorpommern,2014,2065778,1597822,1.29287117088136,1292.87117088136,11697.6387134064,15514.3752051665
Mecklenburg-Vorpommern,2015,2065581,1605750,1.28636524988323,1286.36524988323,12984.0039632896,15514.3752051665
Mecklenburg-Vorpommern,2016,2038551,1611518,1.26498804233027,1264.98804233027,14248.9920056199,15514.3752051665
Mecklenburg-Vorpommern,2017,2038402,1610897,1.26538319954659,1265.38319954659,15514.3752051665,15514.3752051665
Niedersachsen,2006,8685447,7989008,1.08717465297319,1087.17465297319,1087.17465297319,12950.9644924823
Niedersachsen,2007,8312560,7979443,1.04174689887502,1041.74689887502,2128.92155184821,12950.9644924823
Niedersachsen,2008,8483437,7961196,1.06559830960072,1065.59830960072,3194.51986144893,12950.9644924823
Niedersachsen,2009,7897258,7938708,0.994778747372998,994.778747372998,4189.29860882192,12950.9644924823
Niedersachsen,2010,8261237,7925362,1.04237976763711,1042.37976763711,5231.67837645904,12950.9644924823
Niedersachsen,2011,8485128,7776541,1.09111853200543,1091.11853200543,6322.79690846446,12950.9644924823
Niedersachsen,2012,8246941,7776624,1.06047830009526,1060.47830009526,7383.27520855972,12950.9644924823
Niedersachsen,2013,9200808,7784777,1.18189743906601,1181.89743906601,8565.17264762573,12950.9644924823
Niedersachsen,2014,9120742,7808649,1.1680307310522,1168.0307310522,9733.20337867793,12950.9644924823
Niedersachsen,2015,8788407,7876669,1.11575172195252,1115.75172195252,10848.9551006304,12950.9644924823
Niedersachsen,2016,8278002,7936142,1.04307634616417,1043.07634616417,11892.0314467946,12950.9644924823
Niedersachsen,2017,8422997,7954230,1.05893304568764,1058.93304568764,12950.9644924823,12950.9644924823
Nordrhein-Westfalen,2006,19634340,18041174,1.08830722435247,1088.30722435247,1088.30722435247,17885.479659809
Nordrhein-Westfalen,2007,23030673,18011956,1.27863253718808,1278.63253718808,2366.93976154055,17885.479659809
Nordrhein-Westfalen,2008,23686113,17967778,1.31825498957078,1318.25498957078,3685.19475111133,17885.479659809
Nordrhein-Westfalen,2009,24708840,17895942,1.38069513189079,1380.69513189079,5065.88988300212,17885.479659809
Nordrhein-Westfalen,2010,25889870,17853668,1.45011490075877,1450.11490075877,6516.00478376089,17885.479659809
Nordrhein-Westfalen,2011,28265947,17545065,1.6110482919271,1611.0482919271,8127.05307568799,17885.479659809
Nordrhein-Westfalen,2012,26408089,17549634,1.50476579739498,1504.76579739498,9631.81887308297,17885.479659809
Nordrhein-Westfalen,2013,26141489,17563093,1.48843310230151,1488.43310230151,11120.2519753845,17885.479659809
Nordrhein-Westfalen,2014,29359655,17604977,1.66769061953333,1667.69061953333,12787.9425949178,17885.479659809
Nordrhein-Westfalen,2015,29794882,17751807,1.67841403413185,1678.41403413185,14466.3566290497,17885.479659809
Nordrhein-Westfalen,2016,30369349,17877808,1.69871770633178,1698.71770633178,16165.0743353814,17885.479659809
Nordrhein-Westfalen,2017,30797177,17901117,1.72040532442752,1720.40532442752,17885.479659809,17885.479659809
Rheinland-Pfalz,2006,3484017,4054417,0.859313928488362,859.313928488362,859.313928488362,11935.8483003694
Rheinland-Pfalz,2007,3911546,4049459,0.965942858045976,965.942858045976,1825.25678653434,11935.8483003694
Rheinland-Pfalz,2008,3782480,4038359,0.936637876919808,936.637876919808,2761.89466345415,11935.8483003694
Rheinland-Pfalz,2009,3728283,4019069,0.927648418078913,927.648418078913,3689.54308153306,11935.8483003694
Rheinland-Pfalz,2010,3664936,4007454,0.914529773766586,914.529773766586,4604.07285529965,11935.8483003694
Rheinland-Pfalz,2011,3930776,3992109,0.984636441540048,984.636441540048,5588.70929683969,11935.8483003694
Rheinland-Pfalz,2012,3769696,3990156,0.944749027356324,944.749027356324,6533.45832419602,11935.8483003694
Rheinland-Pfalz,2013,3913066,3992322,0.980147893882307,980.147893882307,7513.60621807833,11935.8483003694
Rheinland-Pfalz,2014,4199792,4002974,1.04916794363391,1049.16794363391,8562.77416171223,11935.8483003694
